(20,1)
(19,1)
(18,1)
(17,1)
(16,1)
(15,1)
(14,1)
(13,1)
(12,1)
(12,2)
(12,3)
(12,4)
(12,5)
(12,6)
(12,7)
(12,8)
(12,9)
(12,10)
(11,10)
(10,10)
(9,10)
(9,9)
(9,8)
(8,8)
(7,8)
(7,7)
(7,6)
(7,7)
(7,8)
(7,8)
(8,9)
(8,9)
(9,8)
(9,7)
(9,7)
(10,7)
(11,7)
(12,7)
(13,7)
(14,7)
(15,8)
(15,9)
(15,10)
(15,11)
(15,11)
(16,11)
(17,10)
(17,9)
(16,9)
(16,8)
(16,7)
(16,6)
(16,6)
(17,5)
(17,5)
(18,5)
(19,6)
(19,6)
(20,7)
(20,8)
(20,9)
(20,10)
(20,11)
(20,12)
(20,13)
(20,14)
(20,15)
(20,16)
(20,17)
(19,17)
(18,17)
(18,16)
(18,15)
(17,15)
(16,15)
(15,15)
(15,14)
(15,13)
(15,12)
(15,11)
(15,10)
(14,10)
(13,10)
(12,10)
(11,10)
(11,11)
(11,12)
(11,13)
(10,13)
(9,13)
(8,13)
(7,13)
(6,13)
(5,13)
(4,13)
(3,13)
(3,12)
(3,11)
(3,10)
(3,9)
(3,8)
(3,7)
(3,6)
