(1,20)
(1,20)
(2,19)
(2,18)
(2,17)
(2,17)
(3,16)
(2,16)
(2,15)
(2,14)
(2,14)
(3,14)
(4,14)
(5,13)
(5,12)
(5,11)
(5,10)
(5,9)
(5,8)
(5,7)
(5,7)
(6,8)
(6,9)
(6,10)
(6,11)
(5,11)
(5,12)
(5,13)
(5,13)
(6,14)
(6,15)
(6,16)
(6,17)
(6,18)
(6,19)
(5,19)
(4,19)
(4,20)
(4,20)
(5,20)
(6,20)
(7,19)
(7,18)
(7,19)
(7,19)
(8,18)
(8,18)
(9,18)
(10,18)
(11,18)
(12,19)
(12,20)
(11,20)
(11,19)
(11,19)
(12,19)
(13,19)
(14,19)
(15,19)
(16,19)
(17,18)
(17,17)
(17,16)
(17,15)
(17,14)
(17,13)
(17,12)
(16,12)
(15,12)
(14,12)
(13,12)
(13,11)
(12,11)
(11,11)
(10,11)
(9,11)
(8,11)
(7,11)
(6,11)
(5,11)
(4,11)
(3,11)
(2,11)
(2,10)
(2,9)
(2,8)
(2,7)
(2,6)
